2026-07-14 08:15:17 | INFO     | cluster_heartbeat.anomaly_detector | Saved anomaly detector to /home/claude/cluster-heartbeat/checkpoints/anomaly_detector.pkl
2026-07-14 15:04:46 | INFO     | cluster_heartbeat.synthetic_generator | Generating synthetic trace: 32 GPUs x 10080 steps (7d @ 60s), failure_rate=0.03
2026-07-14 15:04:46 | DEBUG    | cluster_heartbeat.synthetic_generator | GPU gpu-009: injected failure ramp starting at step 7757
2026-07-14 15:04:46 | INFO     | cluster_heartbeat.synthetic_generator | Generated 322560 rows across 32 GPUs
2026-07-14 15:04:57 | INFO     | cluster_heartbeat.synthetic_generator | Saved synthetic trace to D:\Hackathon things 1st time\using claude\cluster-heartbeat\data_store\raw\synthetic_trace.csv
2026-07-14 15:05:05 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from D:\Hackathon things 1st time\using claude\cluster-heartbeat\data_store\raw\synthetic_trace.csv
2026-07-14 15:05:05 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 322560 raw rows
2026-07-14 15:05:05 | DEBUG    | cluster_heartbeat.preprocessing | GPU gpu-000: interpolated 6 missing values
2026-07-14 15:05:06 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 322560 clean rows
2026-07-14 15:12:44 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from D:\Hackathon things 1st time\using claude\cluster-heartbeat\data_store\raw\synthetic_trace.csv
2026-07-14 15:12:44 | INFO     | cluster_heartbeat.api | Lazily initializing ClusterHeartbeatPipeline
2026-07-14 15:12:44 | INFO     | cluster_heartbeat.normalization | Loaded scaler from D:\Hackathon things 1st time\using claude\cluster-heartbeat\checkpoints\feature_scaler.pkl
2026-07-14 15:12:45 | INFO     | cluster_heartbeat.inference_pipeline | ClusterHeartbeatPipeline initialized (all checkpoints loaded)
2026-07-14 15:12:45 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 322560 raw rows
2026-07-14 15:12:46 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 322560 clean rows
2026-07-14 15:12:47 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 15:12:51 | INFO     | cluster_heartbeat.scheduler | Generated 5 scheduling recommendations
2026-07-14 15:12:51 | WARNING  | cluster_heartbeat.scheduler | Recommending drain for 1 high-risk GPUs: ['gpu-009']
2026-07-14 15:12:51 | INFO     | cluster_heartbeat.cost_optimizer | Detected 0 idle GPUs (util < 5.0%)
2026-07-14 15:12:51 | INFO     | cluster_heartbeat.cost_optimizer | Cost optimization: 0/32 idle GPUs, est. savings $0.00/window
2026-07-14 15:12:51 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 322560 raw rows
2026-07-14 15:12:53 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 322560 clean rows
2026-07-14 15:12:54 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 15:12:57 | INFO     | cluster_heartbeat.dashboard_json_builder | Built dashboard payload: 32 GPU panels, 1 alerts
